Category,Country,Customer ID,Order,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Sports,USA,5971,3/14/2023,443,Yes,4,Express,33.00%,$917.5,"$1,339",10,2,$47.2,$6K
Sports,Canada,2926,12/09/2023,544,Yes,2,Express,25.00%,$933.7,$371,5,5,$43.5,$4K
Home,Germany,6756,05/12/2023,889,Yes,3,Standard,38.00%,$389.4,$61,2,0,$48.7,$0K
Home,Canada,2486,08/06/2023,258,Yes,1,Standard,29.00%,$610.7,$210,4,0,$41.5,$2K
Home,Canada,2776,4/18/2023,322,No,1,Next Day,17.00%,$585.8,$91,1,5,$15.8,$0K
Electronics,UK,8397,8/14/2023,1000,No,3,Next Day,10.00%,$607.3,$438,6,0,$6.7,$3K
Books,Germany,3488,11/12/2023,938,No,5,Standard,25.00%,$69.2,$87,6,3,$22.3,$0K
Books,USA,3733,03/04/2023,58,Yes,3,Next Day,23.00%,$815.4,$691,9,2,$40.7,$6K
Electronics,USA,9962,11/18/2023,292,Yes,3,Standard,24.00%,$373.5,$146,5,0,$3.3,$1K
Electronics,France,7136,12/15/2023,871,Yes,3,Express,18.00%,$916.9,"$1,507",8,3,$42.4,$6K
Books,Germany,1539,09/02/2023,120,Yes,3,Express,31.00%,$193.3,$58,2,4,$47.3,$0K
Home,USA,5975,12/02/2023,780,Yes,4,Express,21.00%,$582.3,$241,2,5,$20.4,$1K
Home,Canada,7021,9/21/2023,431,Yes,1,Express,36.00%,$602.6,$267,3,2,$35.1,$1K
Books,USA,3328,11/17/2023,83,Yes,3,Next Day,15.00%,$37.2,$26,4,4,$38.7,$0K
Sports,Germany,3605,2/14/2023,92,No,4,Standard,20.00%,$198.9,$201,6,3,$45.0,$1K
Electronics,Canada,8370,11/09/2023,897,Yes,5,Express,21.00%,$487.1,$695,8,3,$33.0,$3K
Sports,France,1493,07/07/2023,399,No,4,Next Day,12.00%,$600.7,$392,7,5,$46.7,$4K
Books,Canada,2028,09/07/2023,612,No,2,Standard,35.00%,$96.9,$36,5,5,$24.5,$0K
Books,UK,4830,08/04/2023,566,Yes,5,Next Day,9.00%,$316.3,$275,6,1,$36.9,$2K
Sports,France,5196,12/13/2023,909,Yes,2,Standard,38.00%,$546.1,$461,8,5,$2.6,$3K
Electronics,Germany,9285,3/19/2023,634,No,5,Standard,9.00%,$682.0,$811,5,5,$5.3,$3K
Sports,USA,2702,8/24/2023,939,No,5,Express,13.00%,$837.8,"$1,476",7,1,$3.1,$5K
Home,Canada,4626,05/05/2023,85,Yes,5,Standard,22.00%,$762.7,$323,5,4,$29.4,$3K
Sports,USA,9995,09/11/2023,204,Yes,4,Express,13.00%,$784.3,$867,5,0,$32.2,$3K
Clothing,UK,9725,4/28/2023,325,Yes,5,Standard,25.00%,$287.7,$505,9,3,$17.5,$2K
Sports,USA,4654,01/05/2023,775,No,5,Express,13.00%,$329.5,$327,8,2,$11.2,$2K
Sports,Germany,9671,1/20/2023,965,No,1,Standard,36.00%,$632.4,$482,4,4,$15.9,$2K
Home,UK,4455,06/01/2023,48,No,2,Next Day,12.00%,$181.8,$143,7,2,$46.0,$1K
Home,UK,9010,05/01/2023,640,No,1,Standard,21.00%,$909.8,"$1,729",9,0,$17.0,$6K
Home,France,8883,3/25/2023,132,No,1,Standard,37.00%,$727.5,$618,9,4,$8.3,$4K
Electronics,UK,1054,8/21/2023,973,Yes,5,Standard,36.00%,$67.3,$72,8,0,$28.1,$0K
Books,France,4509,08/08/2023,869,Yes,2,Standard,26.00%,$753.4,$696,7,1,$11.9,$4K
Electronics,UK,3274,11/10/2023,181,No,2,Standard,10.00%,$527.6,$193,2,5,$10.2,$1K
Electronics,USA,5689,06/06/2023,847,Yes,5,Express,20.00%,$939.7,"$1,110",5,2,$6.8,$4K
Books,USA,6700,12/27/2023,144,Yes,2,Express,19.00%,$509.4,$417,5,0,$26.0,$2K
Books,UK,5871,06/02/2023,661,No,2,Standard,19.00%,$580.3,$291,3,2,$28.9,$1K
Clothing,UK,3037,07/05/2023,228,Yes,1,Next Day,21.00%,$840.9,$728,5,0,$49.2,$3K
Home,Germany,9363,04/06/2023,955,Yes,5,Standard,5.00%,$920.4,$458,2,4,$49.0,$2K
Sports,France,5381,12/10/2023,792,Yes,1,Standard,30.00%,$892.5,"$1,631",9,2,$48.5,$6K
Sports,UK,4534,07/01/2023,720,No,5,Express,15.00%,$568.8,$116,1,0,$43.3,$0K
Clothing,UK,5849,05/04/2023,910,Yes,4,Express,24.00%,$630.4,$280,2,1,$6.0,$1K
Books,Canada,3931,06/11/2023,374,Yes,2,Next Day,11.00%,$11.3,$5,3,4,$39.2,$0K
Clothing,Germany,6324,11/17/2023,854,No,1,Express,32.00%,$576.2,$391,7,0,$39.6,$3K
Home,Germany,7618,6/20/2023,561,Yes,5,Express,29.00%,$193.5,$231,6,0,$10.4,$1K
Electronics,France,1880,09/12/2023,306,Yes,4,Standard,7.00%,$585.6,$669,5,4,$4.6,$3K
Sports,USA,2742,3/24/2023,582,Yes,5,Next Day,15.00%,$989.1,"$1,619",8,0,$14.9,$7K
Sports,UK,3026,12/27/2023,170,No,4,Express,34.00%,$352.4,$393,7,4,$11.6,$2K
Sports,Germany,8788,7/24/2023,676,No,2,Express,23.00%,$730.4,"$1,114",10,5,$6.9,$6K
Clothing,Germany,2790,07/11/2023,449,No,4,Next Day,11.00%,$486.5,$348,6,3,$5.3,$3K
Sports,France,4847,8/23/2023,96,Yes,5,Next Day,32.00%,$688.7,"$1,038",8,1,$47.7,$4K
Electronics,USA,6779,10/24/2023,198,No,2,Standard,24.00%,$839.9,$338,2,5,$4.6,$1K
Clothing,UK,4330,6/26/2023,607,No,2,Standard,18.00%,$718.5,$224,2,0,$10.1,$1K
Home,Canada,2696,10/12/2023,257,No,4,Next Day,26.00%,$289.2,$341,6,1,$12.0,$1K
Books,Canada,8779,07/04/2023,882,Yes,3,Next Day,20.00%,$855.3,$202,1,4,$46.9,$1K
Sports,Canada,9243,07/09/2023,691,Yes,2,Express,9.00%,$978.9,$675,6,1,$32.7,$5K
Sports,Canada,3621,12/28/2023,293,No,5,Express,10.00%,$912.0,$400,2,4,$32.5,$2K
Clothing,France,1694,12/07/2023,931,Yes,1,Express,27.00%,$600.8,$732,6,0,$29.6,$3K
Electronics,UK,5873,8/24/2023,817,Yes,5,Express,10.00%,$884.6,"$1,908",9,1,$19.4,$7K
Books,France,7470,3/28/2023,862,No,3,Express,32.00%,$166.2,$142,5,0,$35.5,$1K
Books,France,2045,03/07/2023,388,No,1,Express,5.00%,$204.5,$113,5,0,$17.3,$1K
Sports,Canada,3481,11/04/2023,611,No,3,Express,10.00%,$264.7,$271,6,5,$14.5,$1K
Home,France,2325,03/10/2023,555,No,3,Standard,22.00%,$774.0,$425,6,0,$18.4,$4K
Electronics,UK,4541,07/02/2023,974,Yes,4,Express,20.00%,$248.6,$326,8,5,$9.6,$2K
Electronics,Canada,3159,02/04/2023,369,Yes,5,Next Day,27.00%,$723.1,$54,1,1,$32.3,$1K
Home,UK,7034,08/09/2023,1000,No,1,Next Day,14.00%,$838.5,$642,4,0,$3.7,$3K
Electronics,UK,5540,01/10/2023,918,No,5,Standard,10.00%,$209.8,$21,1,0,$19.4,$0K
Sports,Canada,5356,10/28/2023,202,Yes,3,Express,18.00%,$553.8,$253,4,5,$29.2,$2K
Clothing,Canada,7108,10/09/2023,384,No,3,Next Day,5.00%,$839.6,$849,10,5,$26.4,$8K
Clothing,France,8379,3/21/2023,513,No,1,Standard,23.00%,$84.7,$133,10,4,$49.5,$1K
Electronics,France,1731,11/27/2023,907,Yes,1,Express,28.00%,$597.7,$296,6,5,$27.2,$3K
Electronics,Canada,9973,12/25/2023,371,Yes,4,Express,35.00%,$202.3,$166,5,4,$35.5,$1K
Home,France,5541,04/08/2023,556,No,2,Standard,27.00%,$889.2,$587,7,5,$14.6,$5K
Home,Germany,7006,3/16/2023,955,No,4,Standard,22.00%,$879.6,$158,1,1,$26.3,$1K
Books,Canada,3738,7/27/2023,384,Yes,4,Next Day,23.00%,$609.7,$943,10,0,$19.2,$5K
Books,Germany,4788,7/18/2023,24,No,1,Express,36.00%,$368.8,$58,1,5,$21.2,$0K
Sports,Canada,1933,12/23/2023,700,Yes,5,Express,32.00%,$780.9,$117,1,3,$48.4,$1K
Electronics,France,8813,10/08/2023,131,Yes,3,Standard,35.00%,$287.2,$43,1,1,$8.4,$0K
Books,UK,5916,2/28/2023,378,Yes,1,Next Day,17.00%,$819.1,$750,10,2,$7.1,$7K
Electronics,Canada,6692,9/23/2023,99,No,2,Standard,21.00%,$208.4,$113,4,5,$13.9,$1K
Sports,USA,8966,12/08/2023,575,No,2,Standard,33.00%,$136.6,$167,7,5,$12.3,$1K
Books,Germany,6255,1/15/2023,932,Yes,3,Next Day,40.00%,$691.2,"$1,090",9,5,$49.4,$4K
Home,UK,8380,9/15/2023,735,No,3,Next Day,16.00%,$719.4,$696,8,4,$23.5,$5K
Home,USA,5947,03/07/2023,124,Yes,5,Standard,6.00%,$304.0,$644,9,2,$11.1,$3K
Sports,USA,3586,10/19/2023,964,Yes,3,Standard,19.00%,$244.7,$34,1,0,$38.7,$0K
Books,France,4729,2/20/2023,595,No,5,Express,15.00%,$928.1,$170,2,0,$44.7,$2K
Home,Germany,8551,9/26/2023,943,Yes,3,Standard,26.00%,$63.9,$10,1,3,$23.8,$0K
Home,France,4776,7/22/2023,740,Yes,2,Standard,35.00%,$595.7,$925,9,5,$49.4,$3K
Sports,UK,6686,12/17/2023,149,Yes,2,Standard,34.00%,$805.0,"$1,074",9,2,$21.5,$5K
Books,Germany,5074,8/16/2023,210,No,1,Next Day,10.00%,$957.7,"$1,328",7,5,$17.4,$6K
Books,France,6176,12/06/2023,563,Yes,1,Standard,35.00%,$744.9,$432,5,0,$9.2,$2K
Clothing,Canada,9921,5/13/2023,412,No,1,Standard,21.00%,$811.5,$876,7,0,$22.3,$4K
Home,Germany,5833,05/10/2023,783,No,1,Next Day,15.00%,$927.6,$820,10,4,$17.2,$8K
Books,USA,9604,4/20/2023,42,Yes,3,Next Day,38.00%,$449.7,$185,4,5,$3.1,$1K
Home,UK,5474,7/17/2023,59,Yes,5,Standard,20.00%,$76.0,$103,7,5,$16.6,$0K
Electronics,USA,3961,4/15/2023,706,No,2,Standard,33.00%,$254.0,$482,10,4,$41.1,$2K
Sports,Germany,6255,09/05/2023,37,Yes,1,Express,11.00%,$995.5,"$1,552",7,1,$37.6,$6K
Sports,UK,8339,3/27/2023,779,No,2,Next Day,26.00%,$195.9,$82,3,5,$5.2,$0K
Sports,Canada,8360,04/05/2023,87,Yes,3,Express,29.00%,$251.1,$299,8,4,$30.8,$1K
Books,USA,2329,7/17/2023,44,Yes,2,Standard,19.00%,$409.6,$270,5,4,$23.7,$2K
Books,Germany,3504,10/22/2023,873,Yes,4,Next Day,32.00%,$874.9,$845,6,4,$29.6,$4K
Sports,UK,4540,9/27/2023,12,Yes,2,Express,31.00%,$796.3,$79,1,5,$10.0,$1K
Sports,Canada,5609,02/04/2023,771,Yes,4,Next Day,24.00%,$595.6,"$1,093",10,5,$45.5,$5K
Home,UK,7652,03/12/2023,308,No,4,Next Day,7.00%,$505.9,$351,4,5,$44.7,$2K
Clothing,USA,5267,4/23/2023,81,No,1,Standard,27.00%,$691.1,$576,7,2,$37.9,$4K
Books,Canada,2807,07/02/2023,33,No,1,Next Day,14.00%,$179.1,$222,10,2,$50.0,$2K
Books,Germany,5888,12/18/2023,183,Yes,2,Express,12.00%,$591.2,$776,7,4,$7.2,$4K
Books,UK,6064,02/09/2023,129,No,4,Next Day,32.00%,$505.5,$220,4,2,$20.7,$1K
Sports,Canada,9281,9/23/2023,807,Yes,2,Next Day,24.00%,$581.5,$70,1,3,$21.1,$0K
Electronics,USA,7898,08/10/2023,276,Yes,5,Next Day,39.00%,$807.6,$236,2,5,$33.8,$1K
Books,Germany,8139,10/12/2023,175,Yes,3,Standard,12.00%,$654.2,$265,2,5,$22.7,$1K
Books,UK,7830,10/01/2023,555,Yes,2,Next Day,20.00%,$916.5,"$1,032",5,0,$45.5,$4K
Books,Germany,5673,05/07/2023,372,No,4,Express,38.00%,$605.7,$529,5,5,$32.4,$2K
Sports,USA,2224,03/01/2023,185,Yes,1,Standard,11.00%,$268.5,$60,1,5,$12.2,$0K
Sports,Canada,4736,4/19/2023,445,No,4,Next Day,11.00%,$401.5,$113,3,0,$31.2,$1K
Home,USA,3173,4/27/2023,489,No,1,Next Day,11.00%,$371.1,$185,3,5,$49.1,$1K
Books,UK,3961,5/23/2023,590,Yes,3,Standard,35.00%,$700.8,$537,4,3,$16.0,$2K
Electronics,Germany,9487,12/17/2023,287,No,1,Express,14.00%,$668.1,"$1,326",9,4,$14.3,$5K
Sports,UK,8174,12/22/2023,281,Yes,1,Express,15.00%,$281.3,$111,4,0,$46.0,$1K
Electronics,France,4026,08/04/2023,638,No,5,Next Day,35.00%,$927.9,$69,1,0,$37.6,$1K
Home,Canada,2264,6/13/2023,771,Yes,5,Next Day,14.00%,$56.0,$134,10,1,$3.3,$0K
Clothing,UK,6711,06/09/2023,516,Yes,1,Standard,24.00%,$874.7,$343,2,5,$34.3,$1K
Electronics,France,9199,4/26/2023,95,Yes,5,Next Day,24.00%,$412.3,$681,8,3,$39.2,$3K
Clothing,UK,2409,05/12/2023,227,Yes,1,Next Day,20.00%,$952.7,$416,4,4,$5.1,$3K
Sports,Canada,3205,04/07/2023,876,No,3,Next Day,14.00%,$888.2,$314,4,3,$44.2,$3K
Sports,UK,9012,8/20/2023,270,No,2,Express,18.00%,$593.7,$382,6,4,$10.2,$3K
Sports,UK,5449,7/26/2023,881,No,5,Standard,29.00%,$112.5,$73,4,1,$25.4,$0K
Electronics,France,4570,08/02/2023,297,No,3,Next Day,11.00%,$722.9,$589,9,0,$49.0,$6K
Electronics,Canada,2198,08/02/2023,329,Yes,3,Next Day,15.00%,$719.0,$791,7,1,$16.7,$4K
Books,USA,7513,5/27/2023,20,Yes,2,Standard,36.00%,$640.4,$252,6,1,$26.6,$2K
Clothing,USA,4461,11/04/2023,608,No,4,Next Day,20.00%,$267.5,$304,10,0,$40.4,$2K
Sports,UK,6525,10/01/2023,841,Yes,4,Next Day,34.00%,$666.2,$326,5,0,$2.1,$2K
Clothing,France,3025,5/27/2023,411,Yes,2,Standard,35.00%,$194.2,$107,7,0,$38.5,$1K
Electronics,USA,7543,12/15/2023,451,Yes,2,Express,37.00%,$737.3,$783,7,2,$23.2,$3K
Electronics,Germany,5071,3/24/2023,249,Yes,4,Express,8.00%,$590.1,"$1,277",9,3,$21.4,$5K
Books,USA,7123,1/13/2023,181,No,3,Express,20.00%,$14.2,$21,8,1,$6.7,$0K
Books,Germany,5397,8/26/2023,324,No,1,Next Day,35.00%,$550.5,$383,4,5,$38.7,$1K
Sports,Canada,7613,9/27/2023,830,Yes,2,Next Day,27.00%,$287.6,$37,1,5,$5.1,$0K
Sports,Germany,6162,11/09/2023,783,No,3,Next Day,36.00%,$552.5,$677,8,1,$13.7,$3K
Home,USA,2174,09/07/2023,865,No,5,Next Day,31.00%,$623.5,$375,4,1,$5.2,$2K
Sports,Canada,3792,6/19/2023,261,Yes,4,Next Day,14.00%,$638.4,"$1,073",8,0,$14.4,$4K
Home,UK,2056,5/25/2023,964,No,4,Express,21.00%,$74.2,$29,2,4,$44.1,$0K
Clothing,UK,7794,04/10/2023,750,Yes,3,Standard,37.00%,$237.6,$322,8,3,$35.1,$1K
Books,France,5811,6/13/2023,140,Yes,3,Express,31.00%,$798.8,$701,8,0,$41.0,$4K
Electronics,Germany,4449,3/21/2023,599,Yes,1,Express,34.00%,$93.1,$99,8,1,$28.8,$0K
Sports,Germany,7547,07/02/2023,462,Yes,5,Standard,11.00%,$847.5,$442,5,2,$7.2,$4K
Books,UK,9015,07/10/2023,890,No,5,Next Day,11.00%,$735.3,"$1,050",10,1,$47.8,$7K
Home,France,3072,11/18/2023,622,Yes,4,Standard,31.00%,$78.5,$66,6,1,$2.8,$0K
Clothing,France,3353,11/18/2023,844,No,5,Next Day,40.00%,$487.2,$138,3,3,$10.2,$1K
Books,Germany,3866,07/03/2023,697,No,3,Express,22.00%,$213.3,$69,4,4,$7.3,$1K
Books,Canada,4027,12/10/2023,529,No,1,Next Day,19.00%,$166.3,$316,8,5,$20.9,$1K
Sports,UK,8438,06/10/2023,153,No,2,Standard,29.00%,$502.1,$99,1,5,$45.6,$0K
Electronics,UK,2990,4/15/2023,926,Yes,3,Standard,34.00%,$256.2,$113,4,3,$12.7,$1K
Home,Canada,2381,03/06/2023,150,Yes,3,Express,28.00%,$940.0,$80,1,2,$32.0,$1K
Electronics,USA,5893,06/06/2023,111,Yes,2,Standard,27.00%,$344.2,$362,8,4,$31.1,$2K
Home,UK,7372,12/19/2023,26,Yes,4,Standard,16.00%,$134.9,$13,1,0,$41.2,$0K
Electronics,Germany,6029,2/26/2023,465,No,4,Standard,37.00%,$275.0,$115,4,1,$36.2,$1K
Electronics,France,3684,7/19/2023,957,Yes,2,Standard,10.00%,$229.4,$52,1,5,$19.0,$0K
Home,UK,3221,7/17/2023,890,No,2,Next Day,8.00%,$784.3,$114,1,0,$43.5,$1K
Books,UK,1080,01/06/2023,887,Yes,1,Standard,10.00%,$219.3,$415,9,0,$25.2,$2K
Sports,Germany,7714,2/16/2023,118,Yes,5,Next Day,8.00%,$189.6,$126,3,1,$26.9,$1K
Clothing,UK,8857,7/28/2023,446,Yes,3,Standard,14.00%,$527.1,$58,1,3,$11.4,$0K
Electronics,Canada,1209,11/16/2023,596,No,1,Standard,37.00%,$491.6,$296,6,5,$12.2,$2K
Books,USA,2185,03/03/2023,674,Yes,2,Standard,10.00%,$308.7,$137,3,5,$42.0,$1K
Sports,France,1474,2/23/2023,873,No,2,Express,6.00%,$158.4,$127,6,0,$38.6,$1K
Electronics,France,6079,11/24/2023,929,Yes,2,Standard,17.00%,$889.5,$879,10,2,$24.0,$7K
Electronics,UK,1306,01/02/2023,229,No,4,Express,36.00%,$353.5,$391,9,5,$44.7,$2K
Books,France,5112,12/27/2023,508,No,3,Next Day,30.00%,$577.0,$535,5,4,$18.6,$2K
Books,Germany,5524,2/28/2023,764,Yes,4,Standard,38.00%,$221.1,$317,10,2,$26.7,$1K
Clothing,UK,7938,4/27/2023,122,Yes,4,Standard,8.00%,$281.1,$302,6,0,$37.1,$2K
Clothing,Canada,2515,1/15/2023,327,Yes,3,Next Day,37.00%,$489.0,$730,10,4,$8.6,$3K
Books,Germany,5826,04/06/2023,470,No,2,Next Day,35.00%,$394.9,$61,1,5,$35.2,$0K
Clothing,USA,5646,07/08/2023,288,No,5,Standard,18.00%,$383.2,$475,7,3,$20.3,$2K
Electronics,Canada,9483,12/12/2023,526,No,5,Standard,17.00%,$566.6,$276,4,4,$34.0,$2K
Home,USA,3693,09/06/2023,840,No,4,Express,6.00%,$711.6,$798,8,4,$42.4,$5K
